cond,rtt_ms
batch,1.20
batch,1.02
batch,1.22
batch,1.34
batch,1.52
batch,1.80
batch,1.43
batch,1.24
batch,1.49
batch,1.50
batch,1.90
batch,1.66
batch,1.83
batch,1.70
batch,1.74
batch,1.64
batch,1.41
batch,1.47
batch,1.84
batch,1.68
batch,2.10
batch,1.98
batch,1.62
batch,2.04
batch,1.72
batch,1.76
batch,1.77
batch,1.87
batch,1.82
batch,1.66
batch,1.44
batch,2.13
batch,1.68
batch,2.04
batch,1.73
batch,1.50
batch,1.90
batch,2.12
batch,1.85
batch,0.926
batch,0.502
batch,1.15
batch,1.61
batch,1.48
batch,1.29
batch,1.69
batch,1.41
batch,1.10
batch,1.40
batch,1.48
batch,1.87
batch,1.53
batch,1.40
batch,1.78
batch,1.85
batch,2.06
batch,1.88
batch,2.04
batch,2.04
batch,1.51
batch,1.76
batch,1.52
batch,1.83
batch,1.87
batch,1.77
batch,2.05
batch,1.34
batch,1.47
batch,0.650
batch,1.18
batch,1.34
batch,1.78
batch,1.34
batch,1.01
batch,0.964
batch,1.51
batch,1.48
batch,1.18
batch,1.77
batch,1.85
batch,2.10
batch,1.76
batch,1.41
batch,1.29
batch,1.87
batch,1.65
batch,1.66
batch,1.55
batch,1.84
batch,2.24
batch,2.28
batch,1.32
batch,1.44
batch,1.30
batch,1.40
batch,1.38
batch,1.29
batch,1.44
batch,1.37
batch,1.37
batch,1.61
batch,1.88
batch,1.98
batch,1.70
batch,1.72
batch,1.12
batch,0.880
batch,1.49
batch,1.86
batch,1.56
batch,1.20
batch,2.03
batch,1.43
batch,1.65
batch,1.58
batch,1.63
batch,1.51
batch,2.13
batch,1.80
batch,1.94
batch,1.69
batch,2.11
batch,1.66
batch,2.19
batch,2.24
batch,1.92
batch,1.94
batch,1.59
batch,1.44
batch,1.66
batch,1.70
batch,1.67
batch,1.52
batch,1.56
batch,1.82
batch,1.70
batch,1.90
batch,1.71
batch,2.06
batch,1.80
batch,2.00
batch,1.81
batch,2.32
batch,0.950
batch,1.07
batch,1.28
batch,1.49
batch,1.48
batch,1.51
batch,2.06
batch,1.47
batch,1.41
batch,1.62
batch,2.01
batch,1.30
batch,2.06
batch,1.38
batch,2.04
batch,1.56
batch,2.29
batch,1.42
batch,1.98
batch,2.12
batch,1.66
batch,1.31
batch,1.36
batch,1.69
batch,1.76
batch,1.48
batch,1.46
batch,1.45
batch,1.70
batch,1.43
batch,1.81
root,0.732
root,1.15
root,1.28
root,0.977
root,1.31
root,1.60
root,1.36
root,1.19
root,1.44
root,1.30
root,1.52
root,1.25
root,1.52
root,1.61
root,1.47
root,1.62
root,1.70
root,1.61
root,2.02
root,1.48
root,1.71
root,1.85
root,1.22
root,1.55
root,1.85
root,1.72
root,1.26
root,1.55
root,2.10
root,1.84
root,1.61
root,1.24
root,1.64
root,1.57
root,1.58
root,1.69
root,2.01
root,1.72
root,2.16
root,2.28
root,1.48
root,1.35
root,1.38
root,1.36
root,1.36
root,1.56
root,1.67
root,1.21
root,1.01
root,1.69
root,1.67
root,1.95
root,1.53
root,1.77
root,1.31
root,1.82
root,1.65
root,2.08
root,1.92
root,1.58
root,2.43
root,2.28
root,0.907
root,0.846
root,1.29
root,1.55
root,1.24
root,1.34
root,1.10
root,1.63
root,1.16
root,2.00
root,1.91
root,1.55
root,1.81
root,2.10
root,1.31
root,1.59
root,2.13
root,2.23
root,1.65
root,1.99
root,2.13
root,1.75
root,1.38
root,1.95
root,1.38
root,1.87
root,1.55
root,2.28
root,1.53
root,1.98
root,0.950
root,1.69
root,0.892
root,1.68
root,1.44
root,1.84
root,1.63
root,1.85
root,1.98
root,1.14
root,1.21
root,1.32
root,1.27
root,1.53
root,1.66
